longitude,latitude,altitude,lidar(m),height_wgs84(m),cs_photo,co_photo
17.02148601,49.29918287,281.0088,0.066,323.0545,1.184993966,0
17.02148631,49.29918318,281.0981,0.067,323.144,1.18656444,0
17.0214867,49.2991835,281.2127,0.067,323.2585,2.260570647,1.184186555
17.02148712,49.29918382,281.3105,0.06,323.3563,3.948166969,0
17.02148756,49.29918414,281.3928,0.067,323.4383,1.184328959,1.156453235
17.021488,49.29918443,281.4471,0.064,323.4929,0,0
17.02148853,49.2991846,281.4922,0.06,323.538,2.36837311,1.184186555
17.02148906,49.29918481,281.5477,0.061,323.5934,1.186993473,1.634398706
17.0214896,49.29918512,281.5876,0.061,323.6334,2.600675463,0
17.02148999,49.29918551,281.5986,0.058,323.6443,2.373510166,1.186755083
17.02149044,49.29918584,281.6148,0.057,323.6607,2.371414604,1.720795725
17.021491,49.29918606,281.6564,0.066,323.7022,3.372945694,0
17.02149145,49.2991861,281.6681,0.063,323.7139,2.370938855,1.185469428
17.02149179,49.2991861,281.6885,0.065,323.7343,1.187136554,0
17.02149215,49.29918605,281.7197,0.063,323.7654,2.367708823,0
17.02149256,49.29918589,281.7381,0.065,323.7838,6.764885491,0
17.02149298,49.2991858,281.7441,0.069,323.79,1.18494644,0
17.02149332,49.29918573,281.7408,0.069,323.7865,1.186088099,0
17.02149356,49.29918569,281.7346,0.063,323.7805,4.556207194,0
17.02149373,49.29918565,281.737,0.062,323.7827,4.751027867,1.187756967
17.0214939,49.29918564,281.7502,0.067,323.7962,1.314929785,0
17.021494,49.2991857,281.7533,0.062,323.7992,1.186278589,0
17.02149405,49.29918571,281.7487,0.06,323.7947,1.184471398,0.668163353
17.02149404,49.29918571,281.7192,0.062,323.7651,2.419768315,0
17.02149411,49.29918581,281.6884,0.066,323.734,1.184756378,0
17.02149406,49.29918591,281.642,0.06,323.688,3.531086331,0
17.021494,49.299186,281.599,0.06,323.6449,2.369322738,1.184661369
17.02149399,49.29918605,281.5641,0.066,323.6096,0.669478476,0
17.0214939,49.29918616,281.5449,0.067,323.5908,3.556836422,0
17.02149396,49.29918628,281.5392,0.062,323.585,2.188207748,1.185279197
17.021494,49.29918646,281.5376,0.066,323.5834,0,2.374368509
17.02149409,49.29918656,281.5252,0.06,323.5712,0.553843701,1.184328959
17.02149431,49.29918663,281.5195,0.059,323.5652,3.560694317,2.191196503
17.02149465,49.2991867,281.5196,0.06,323.5654,3.559407423,0
17.02149498,49.29918675,281.5109,0.062,323.5566,5.75189082,1.186898106
17.02149542,49.29918686,281.5107,0.06,323.556,0,0
17.02149573,49.29918691,281.5241,0.06,323.5699,1.417391458,0
17.02149583,49.2991867,281.4856,0.064,323.5315,2.374974681,0
17.02149586,49.29918641,281.4328,0.066,323.4787,3.556836422,1.185612141
17.02149575,49.29918614,281.3896,0.067,323.4354,0,0
17.02149571,49.29918584,281.3373,0.06,323.3831,0,0
17.02149565,49.29918553,281.2919,0.065,323.3376,1.185564566,1.185564566
17.02149547,49.2991852,281.234,0.067,323.2798,5.389373909,1.187422818
17.02149531,49.29918487,281.1734,0.07,323.2191,1.20846226,0
17.02149505,49.2991846,281.116,0.069,323.1618,2.373319507,0
17.02149464,49.29918428,281.0487,0.065,323.0944,3.552132555,0
17.02149415,49.29918397,280.9974,0.068,323.0431,0,0.669720593
17.0214937,49.29918365,280.9503,0.06,322.9962,2.450408472,2.369892881
17.02149318,49.29918328,280.9124,0.06,322.9583,1.913239776,0
17.02149263,49.29918295,280.8544,0.065,322.9001,0,0
17.02149206,49.29918253,280.7938,0.066,322.8397,3.436752202,0
17.02149151,49.29918208,280.7501,0.065,322.7961,2.372938282,0
17.02149117,49.29918171,280.7023,0.063,322.748,0,0
17.0214909,49.29918133,280.6591,0.064,322.7048,1.187184255,1.187184255
17.02149062,49.29918099,280.608,0.06,322.6539,5.441948092,1.186421497
17.02149034,49.29918071,280.5692,0.061,322.6149,4.563342849,1.186469141
17.02149017,49.29918037,280.5411,0.068,322.587,1.183901849,1.183901849
17.02149,49.29918014,280.5115,0.068,322.5573,4.74778315,2.373891575
17.02148984,49.29918001,280.4794,0.068,322.5253,2.374368509,0
17.0214898,49.29917988,280.4493,0.06,322.4952,1.194726026,0
17.02148986,49.29917976,280.4157,0.06,322.4617,3.532866907,0
17.02148993,49.29917969,280.382,0.062,322.4279,3.562411625,0
17.02149003,49.2991796,280.3659,0.061,322.4118,1.183854411,0
17.02149014,49.29917956,280.3514,0.069,322.397,3.56456059,0
17.02149026,49.2991795,280.3395,0.063,322.3853,1.571638387,0
17.0214904,49.29917956,280.3239,0.061,322.3696,1.185374305,0
17.0214904,49.2991796,280.307,0.056,322.3529,1.184471398,0
17.02149039,49.2991796,280.2765,0.062,322.3222,0,0
17.0214903,49.2991796,280.252,0.06,322.2976,2.371890543,0
17.0214902,49.29917951,280.2284,0.064,322.2741,0.668511759,0
17.02149019,49.29917945,280.1998,0.061,322.2456,1.609232037,0
17.02149077,49.29917941,280.1587,0.064,322.2045,1.184471398,3.553414193
17.0214915,49.29917952,280.1242,0.063,322.17,2.373510166,1.186755083
17.02149221,49.29917967,280.101,0.066,322.1469,5.358844614,1.188378029
17.02149289,49.29917978,280.0691,0.06,322.1148,1.183901849,0
17.02149347,49.2991799,280.0379,0.064,322.0837,3.560122249,1.186707416
17.0214939,49.29917995,279.9729,0.062,322.0187,2.37179534,0
17.02149431,49.29917992,279.8882,0.063,321.9339,1.186278589,0
17.02149494,49.2991802,279.9166,0.202,321.9623,3.828434398,2.008758186
17.02149616,49.29918187,280.4616,0.867,322.5072,3.552132555,1.184044185
17.02149697,49.29918351,280.9046,1.338,322.9505,3.884323874,1.371582439
17.02149735,49.29918472,282.5081,3.125,324.5539,4.37360819,0
17.02149763,49.29918571,285.6421,6.259,327.6877,5.496291462,0
17.02149804,49.29918656,288.7729,9.399,330.8185,2.744048034,0
17.02149818,49.29918707,291.8574,12.486,333.9032,6.756128744,0.851449819
17.02149887,49.29918733,294.5269,15.044,336.5726,2.376564877,2.376564877
17.02149976,49.29918726,295.2448,15.64,337.2906,2.387964234,0
17.02149911,49.29918722,295.1795,15.465,337.2254,3.556979158,0
17.0214966,49.29918481,295.1517,15.754,337.1977,2.374368509,1.187184255
17.02148696,49.29917327,295.1907,15.886,337.2364,3.558264297,1.186088099
17.02146748,49.29915111,295.2571,15.643,337.3031,5.51188242,0
17.02144311,49.29912399,295.3286,15.696,337.3744,3.398880452,0.425461743
17.02141208,49.29908965,295.367,15.694,337.4128,3.11042252,1.187756967
17.02137767,49.29905148,295.3704,15.773,337.4162,3.81986613,0
17.02134127,49.29901095,295.4055,15.65,337.4512,4.594205652,1.187566001
17.02130436,49.29897006,295.4315,15.642,337.4775,2.375704945,0
17.02126881,49.29893029,295.3851,15.73,337.4311,3.562411625,0
17.02123337,49.29889131,295.345,15.833,337.391,5.088415961,0
17.02119828,49.2988525,295.3699,15.921,337.4158,4.633580472,0
17.02116292,49.29881384,295.3791,15.979,337.425,1.41736834,0
17.02112683,49.29877515,295.3969,16.066,337.4428,1.186993473,0
17.02109108,49.29873649,295.389,16.188,337.4349,4.569949475,1.188186863
17.02105561,49.29869787,295.4254,16.248,337.4714,4.12833404,0
17.02101978,49.29865921,295.4746,16.254,337.5206,2.566478651,0
17.02098454,49.29862066,295.5025,16.332,337.5485,9.376164759,0.852476899
17.02094916,49.29858247,295.5202,16.379,337.5662,9.775418846,0
17.02091374,49.29854444,295.5568,16.489,337.6028,3.561839005,1.187279668
17.02087864,49.2985063,295.6114,16.696,337.6574,3.402372384,1.188330231
17.02084318,49.29846793,295.6355,16.729,337.6814,5.765788192,0
17.02080771,49.29842917,295.6616,16.792,337.7076,5.810189917,0
17.0207724,49.2983906,295.6907,16.834,337.7368,6.713599571,1.188664892
17.02073703,49.29835183,295.692,16.876,337.738,4.068408743,3.500069729
17.02070155,49.29831258,295.6834,16.927,337.7294,5.896546116,1.820507611
17.02066626,49.29827332,295.6871,17.043,337.7331,4.915919255,2.373700855
17.02063078,49.29823492,295.6356,17.249,337.6817,7.299623354,2.378478067
17.02059605,49.298197,295.6226,17.392,337.6686,7.725155702,3.424531238
17.02056053,49.29815792,295.6392,17.493,337.6855,6.945764546,1.188091304
17.02052445,49.29811902,295.6665,17.431,337.7127,4.647328887,5.809161108
17.02048879,49.29808076,295.6649,17.485,337.711,8.144991837,2.101600314
17.0204543,49.29804295,295.681,17.528,337.7271,8.068420203,6.784807898
17.02041834,49.29800337,295.6946,17.611,337.7407,12.84094436,9.66662384
17.02038253,49.29796413,295.7088,17.744,337.7552,12.1455997,6.319919831
17.02034855,49.29792671,295.7276,17.881,337.7741,15.34303112,9.645036709
17.0203118,49.29788611,295.7497,17.942,337.7957,13.60622407,11.46077718
17.02027647,49.29784684,295.7924,18.102,337.8384,5.039608272,10.09610014
17.0202416,49.29780798,295.7556,18.235,337.8017,8.038817594,4.471763924
17.02020564,49.29776901,295.7742,18.393,337.8205,8.87201583,6.913696181
17.02016918,49.29773018,295.7575,18.483,337.8037,6.60418014,5.595139383
17.02013405,49.29769219,295.7793,18.537,337.8256,12.69765506,6.162292973
17.02009873,49.29765368,295.7671,18.698,337.8134,5.704433197,6.423469911
17.02006316,49.29761531,295.7391,18.837,337.7853,5.877571824,2.198792863
17.02002747,49.29757656,295.6796,18.883,337.7257,6.838483566,7.845938735
17.01999211,49.29753761,295.6049,18.925,337.6514,5.944281053,4.755424842
17.01995711,49.29749926,295.5752,19.027,337.6215,13.4532947,3.564847315
17.01992123,49.29745954,295.5899,19.153,337.6363,2.381545586,2.381545586
17.01988574,49.29741965,295.5738,19.345,337.6201,5.753739931,2.374559337
17.01984997,49.29738005,295.5522,19.486,337.5986,4.683538677,1.188664892
17.01981386,49.29734012,295.5596,19.536,337.6059,5.94547723,0
17.01978464,49.29730723,295.6414,20.382,337.6879,4.746257758,2.373128879
17.0197745,49.29729541,295.5801,20.15,337.6263,4.153317815,2.19664345
17.01978041,49.29730081,295.4987,19.519,337.5448,5.817197463,1.187804718
17.01978805,49.29730834,295.5422,19.506,337.5884,2.836437627,2.216364116
17.01979375,49.29731369,295.5895,19.554,337.6361,4.565359513,3.56098042
17.01979712,49.29731609,295.6241,19.516,337.6704,3.562268453,2.374845635
17.01979869,49.29731607,295.6732,19.639,337.7193,5.045584647,2.376660463
17.01979594,49.29730959,295.681,20.287,337.7272,3.563987279,1.18799576
17.01978366,49.29728901,295.7019,19.829,337.7482,0,2.373891575
17.01976597,49.29726019,295.7296,20.054,337.7757,2.816467725,1.187804718
17.0197451,49.29722572,295.7321,20.297,337.7782,2.376469298,1.250642916
17.01972104,49.29718594,295.7247,20.411,337.7713,5.837458769,0
17.01969514,49.29714273,295.7174,20.392,337.7638,1.108275092,1.585128392
17.01966935,49.29709862,295.7511,20.531,337.7975,3.258848841,1.576376506
17.01964447,49.29705676,295.6985,20.633,337.7448,3.916598353,1.187804718
17.0196188,49.29701291,295.6962,20.877,337.7425,5.934967367,0
17.01959449,49.29697137,295.7109,21.061,337.7571,2.374082326,1.187041163
17.01956969,49.29692882,295.7636,21.279,337.8098,6.274939888,1.187613737
17.01954528,49.29688709,295.7102,21.423,337.7564,0,0
17.0195207,49.2968466,295.7244,21.633,337.7705,2.509197431,1.187279668
17.0194958,49.29680414,295.7482,21.662,337.7946,4.048617701,0
17.01947047,49.29676066,295.7441,21.776,337.7903,7.00612884,0.670151454
17.01944552,49.29671892,295.7316,22.123,337.7779,1.186088099,1.186088099
17.01942003,49.29667641,295.767,22.576,337.813,3.5632709,0
17.01939526,49.29663398,295.78,22.728,337.8265,2.676838654,0
17.01937131,49.29659175,295.7872,22.9,337.8335,4.565909821,2.374273107
17.01934721,49.29654999,295.7704,23.187,337.8167,3.561982143,1.159381082
17.01932173,49.29650674,295.7447,23.355,337.7911,3.050007967,0
17.01929825,49.29646618,295.7364,23.506,337.7827,4.751983039,0
17.01928374,49.2964292,295.7053,24.392,337.7518,1.59770999,0
17.01928662,49.29638758,295.7149,24.138,337.7613,2.377521087,0
17.0193074,49.29634731,295.7753,23.679,337.8215,2.566667154,0.270276553
17.01933272,49.29631395,295.7768,23.859,337.823,0,0
17.01935602,49.29628425,295.8288,23.909,337.875,1.501755144,1.186659754
17.01938062,49.29626725,295.845,24.608,337.8914,4.753894537,0
17.01940627,49.29627325,295.7337,24.257,337.7798,2.019364212,0
17.01942209,49.29629884,295.7513,23.478,337.7974,3.063640141,0
17.01943702,49.29633075,295.7848,23.634,337.831,3.561695879,0
17.01945678,49.29636821,295.7962,23.348,337.8424,5.105499725,1.185850072
17.01948048,49.29641042,295.818,23.122,337.8641,1.187613737,0
17.01950657,49.29645438,295.8032,22.773,337.8493,1.580870982,0
17.01953239,49.29649768,295.8094,22.558,337.8555,2.37179534,1.18589767
17.01956022,49.29654112,295.3347,22.331,337.3808,2.125955159,0
17.01958582,49.29658278,294.8943,22.239,336.9405,1.839867673,0
17.01961423,49.29662696,294.3993,22.004,336.4454,3.399305954,0
17.01964079,49.29666995,294.0489,21.652,336.095,2.375800462,0
17.01966695,49.29671279,293.6964,21.42,335.7425,0,2.371319439
17.01969278,49.29675545,293.3886,21.215,335.4348,2.374082326,0
17.01971846,49.29679843,293.2254,21.041,335.2715,2.373319507,0
17.01974573,49.29684201,293.2705,20.886,335.3165,5.607834388,0
17.01977362,49.29688602,293.2949,20.716,335.341,4.560412699,1.942260121
17.01980116,49.29692997,293.3211,20.64,335.3673,3.563127659,0
17.01982855,49.29697302,293.356,20.565,335.4022,3.559836284,1.186612095
17.01985547,49.29701619,293.4715,20.448,335.5176,7.368536532,1.188473634
17.01988171,49.29705927,293.578,20.288,335.6242,1.585195386,1.187184255
17.01990778,49.29710217,293.6695,20.053,335.7155,2.190668482,1.186612095
17.01993336,49.29714473,293.718,19.908,335.764,5.837361494,1.189382656
17.01995865,49.29718813,293.6237,19.8,335.6698,4.673132563,1.187756967
17.01998337,49.29723102,293.4865,19.72,335.5326,3.115265924,0
